Client ID,Device Category,Medium,q_medium,q_devise
GA1.2.1000037439.1576672694,desktop=>,referral=>,1,1
GA1.2.1000100466.1580498751,mobile=>,organic=>,1,1
GA1.2.1000144581.1577322293,mobile=>,sem_cpc=>,1,1
GA1.2.1000154585.1581097166,mobile=>,referral=>,1,1
GA1.2.1000156589.1580366503,mobile=>,(none)=>,0,1
GA1.2.1000156620.1572694079,desktop=>desktop=>,referral=>referral=>,2,2
GA1.2.1000292707.1579328888,desktop=>,cpc=>,1,1
GA1.2.1000341704.1580586777,desktop=>,referral=>,1,1
GA1.2.1000357178.1578084558,desktop=>,referral=>,1,1
GA1.2.1000366027.1579210553,mobile=>mobile=>,referral=>organic=>,2,2
GA1.2.1000383601.1580540296,mobile=>mobile=>,organic=>organic=>,2,2
GA1.2.1000469963.1581322161,desktop=>,cpc=>,1,1
GA1.2.100049596.1581770121,mobile=>,organic=>,1,1
GA1.2.100050473.1580143006,mobile=>,organic=>,1,1
GA1.2.1000513003.1580567362,mobile=>,organic=>,1,1
GA1.2.1000565801.1580044842,desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>,referral=>(none)=>referral=>referral=>(none)=>referral=>,4,6
GA1.2.1000606965.1580924225,mobile=>,referral=>,1,1
GA1.2.1000612087.1575973500,desktop=>,referral=>,1,1
GA1.2.1000620651.1580282277,desktop=>,(none)=>,0,1
GA1.2.1000652898.1580651990,desktop=>desktop=>,referral=>organic=>,2,2
GA1.2.1000678078.1581327300,mobile=>,cpc=>,1,1
GA1.2.1000680669.1578744331,mobile=>,referral=>,1,1
GA1.2.1000731719.1568144493,mobile=>,organic=>,1,1
GA1.2.1000772377.1571408432,desktop=>desktop=>desktop=>desktop=>desktop=>,referral=>referral=>referral=>referral=>referral=>,5,5
GA1.2.1000959069.1581063222,desktop=>desktop=>,(none)=>referral=>,1,2
GA1.2.1001053885.1579010896,mobile=>,organic=>,1,1
GA1.2.1001054513.1580205060,desktop=>,cpc=>,1,1
GA1.2.1001055536.1581692969,desktop=>,referral=>,1,1
GA1.2.1001058128.1578069484,mobile=>,organic=>,1,1
GA1.2.1001120130.1578826276,mobile=>mobile=>,organic=>organic=>,2,2
GA1.2.1001125346.1578041129,mobile=>,organic=>,1,1
GA1.2.1001142959.1581879591,mobile=>mobile=>mobile=>,organic=>organic=>organic=>,3,3
GA1.2.1001222124.1578260329,mobile=>,referral=>,1,1
GA1.2.1001232286.1564139610,mobile=>,referral=>,1,1
GA1.2.100127757.1579178167,desktop=>,organic=>,1,1
GA1.2.1001283967.1581897408,mobile=>mobile=>mobile=>,organic=>organic=>referral=>,3,3
GA1.2.1001322588.1575041368,desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>desktop=>,referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>referral=>,65,65
GA1.2.1001331773.1580910699,desktop=>,organic=>,1,1
GA1.2.100134760.1581321570,mobile=>,cpm=>,1,1
GA1.2.1001400959.1578064657,tablet=>,(none)=>,0,1
GA1.2.1001482463.1578032753,mobile=>mobile=>mobile=>,organic=>organic=>referral=>,3,3
GA1.2.1001553038.1580145258,mobile=>,organic=>,1,1
GA1.2.1001573879.1577516064,desktop=>desktop=>desktop=>desktop=>desktop=>,organic=>referral=>organic=>organic=>organic=>,5,5
GA1.2.1001599698.1578583961,mobile=>,(none)=>,0,1
GA1.2.100165284.1581353942,mobile=>,organic=>,1,1
GA1.2.100186398.1579623212,mobile=>mobile=>mobile=>,referral=>referral=>organic=>,3,3
GA1.2.1001997939.1580128252,desktop=>desktop=>,referral=>referral=>,2,2
GA1.2.1002044700.1579069217,desktop=>,cpc=>,1,1
GA1.2.100205258.1578292414,desktop=>desktop=>desktop=>desktop=>,referral=>referral=>referral=>referral=>,4,4
GA1.2.1002108116.1578635779,desktop=>,cpc=>,1,1
GA1.2.1002162322.1578737057,mobile=>,organic=>,1,1
GA1.2.1002208490.1579092415,desktop=>desktop=>,(none)=>referral=>,1,2
GA1.2.1002305898.1568786729,mobile=>,cpm=>,1,1
GA1.2.1002330265.1578337319,mobile=>,organic=>,1,1
GA1.2.1002330585.1579967981,mobile=>,organic=>,1,1
GA1.2.1002332939.1581060358,desktop=>,cpc=>,1,1
GA1.2.1002342828.1580647627,desktop=>desktop=>,(none)=>referral=>,1,2
GA1.2.1002420578.1579449762,desktop=>desktop=>desktop=>desktop=>,referral=>referral=>organic=>organic=>,4,4
GA1.2.1002421509.1579442729,desktop=>desktop=>desktop=>desktop=>,referral=>organic=>referral=>organic=>,4,4
GA1.2.1002447779.1578316411,tablet=>,(none)=>,0,1
GA1.2.1002469110.1576746403,desktop=>desktop=>desktop=>desktop=>,referral=>referral=>organic=>organic=>,4,4
GA1.2.1002573713.1579624879,mobile=>,organic=>,1,1
GA1.2.1002591019.1578469010,mobile=>,cpc=>,1,1
GA1.2.1002667189.1581601515,mobile=>,(none)=>,0,1
GA1.2.1002708100.1578980346,mobile=>mobile=>,organic=>referral=>,2,2
GA1.2.100270895.1579357803,mobile=>,referral=>,1,1
GA1.2.1002751188.1578597055,desktop=>,organic=>,1,1
GA1.2.1002760185.1581188693,desktop=>,(none)=>,0,1
GA1.2.1002782303.1565533002,mobile=>,cpc=>,1,1
GA1.2.1002790032.1580581174,mobile=>mobile=>,organic=>organic=>,2,2
GA1.2.1002805828.1579267673,desktop=>desktop=>,referral=>referral=>,2,2
