Марка,Модель,Цена,Валюта,Маржинальность
Mercedes,gls,"113 513,51",Доллар США,33%
Mercedes,GT_AMG,"174 324,32",,34%
Bм W,x5,"72 222,22",Евро,27%
BMW,i3,"51 666,67",,35%
Mercedes,с180,"2 300 000,00",Рубль,20%
MercedeS ,e220,"3 850 000,00",,21%
BMW,x1,"2 200 000,00",,22%
BMW,x3,"3 350 000,00",,23%
Mercedes,c200,"2 750 000,00",,24%
BMW,318,"2 100 000,00",,25%
BMW,530d,"5 300 000,00",,26%
MERCEDES ,e400,"5 900 000,00",,28%
Mercedes,GLE,"7 200 000,00",,29%
Mercedes,cla,"2 050 000,00",,30%
Mercedes,cls,"4 650 000,00",,31%
Mercedes,glc,"3 950 000,00",,32%
